candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
k trio,1,1,currency:1,$452,8K more investment vs Bundle ($912K) ($460K Duo & $452K Trio) - Standalone - Bundle - - ![rId9](slide_,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-30
k towards roadblocks,1,1,currency:1,$230,"dated - EMEA Disney+ 2H’24 CPA - - Disney+ spent $230K towards Roadblocks, acquiring* 2.1K new users wi",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-54
k roadblock budget,1,1,currency:1,$37,"ya: Updated - EMEA Disney+ 2H’24 CPE - - - With $37K Roadblock budget, Hulu achieved an efficient CPE",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-56
k ran continuous media from october 2023- march,1,1,currency:1,$121,ts + continuously driving in new users Turkey H1: $121K Ran continuous media from October 2023- March 20,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
k ran continuous media april- june 2024 / paused m,1,1,currency:1,$108,us media from October 2023- March 2024 Turkey H2: $108K Ran continuous media April- June 2024 / Paused m,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
k more investment vs bundle,1,1,currency:1,$118,"he past 6 months, with Standalone ($1.03M) having $118K more investment vs Bundle ($912K) ($460K Duo & $",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-30
k lapsed media ran across specific creative groups,1,1,currency:1,$105,aintaining CPE sub $5. Germany H1 Lapsed Budget: $105K Lapsed media ran across specific creative groups,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-31
k lapsed,1,1,currency:1,$36,"nced approach for evergreen + takeovers June ROS: $36k lapsed, Not-installed $59k",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-38
k investment and 48% of rb budget,1,1,currency:1,$110,"k Spotlight: Performance vs Other EMEA RBs - With $110K investment and 48% of RB budget, the UK roadbloc",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-52
k investment and,1,1,percentage:1,48%,"nce vs Other EMEA RBs - With $110K investment and 48% of RB budget, the UK roadblock generated a much h",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-52
k investment,1,1,currency:1,$220,"st time executing Lapsed Audiences targeting with $220K investment, achieved an efficient $4.82 CPE in",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-33
k in total added value which delivered primarily,1,1,currency:1,$500,year. That second-half acceleration fueled over $500K in total added value which delivered primarily,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
k in investment,1,1,currency:1,$300,"Id3.jpg) - H1 vs H2 Analysis - With an additional $300K in investment, performance improved across all K",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-23
k in domestic value back to the business,1,1,currency:1,$800,and sustained scale — enabling us to deliver over $800K in domestic value back to the business. Our bigg,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
k in added value that delivered meaningful scale a,1,1,currency:1,$500,"to be a major growth accelerator, unlocking over $500K in added value that delivered meaningful scale a",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-30
k in added value secured - market activation & exp,1,1,currency:1,$224,A accounts for 40% of Disney+ H1 investment - $224K in Added Value secured - Market Activation & Exp,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
k continuous lapsed always on media april- october,1,1,currency:1,$186,gun) vs Always On media Germany H2 Lapsed Budget: $186K Continuous Lapsed Always On media April- October,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-31
k added value due to overdelivery,1,1,currency:1,$10,ment: $110K - 2019+ Model Year Targeting - Nearly $10K Added Value due to overdelivery - - - - - -,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-37
k accounted for 48% of the total rb budget,1,1,currency:1,$110,"Performance vs Other EMEA RBs - An investment of $110K accounted for 48% of the total RB budget, delive",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46
k accounted for,1,1,percentage:1,48%,"r EMEA RBs - An investment of $110K accounted for 48% of the total RB budget, delivering 57% of all ins",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46
k 300k over the course of 6 months adam,1,1,currency:1,$80,"### Notes: LAPSED ROS - $220k Not Installed ROS: $80k 300k over the course of 6 months Adam, Laura, Me",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
k - x - source,1,1,currency:1,$413.2,jpg) - - - - Investment: $404.5K - Investment: $413.2K - x - Source: LG Ad Solutions TV Campaigns Data,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-31
k - source,1,1,currency:1,$36.8,Overall stats here] - $162.5K - $98.1K - $96.3K - $36.8K - Source: LG Ad Solutions TV Campaigns Data Disn,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-64
k - - - source,1,1,currency:1,$594,$0 - $636K - $163K - $194K - $729K - $0 - $368K - $594K - - - Source: LG Ads 1P Campaign Data x LG App,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-64
julia 258 total creatives/ lines 64% static,1,1,percentage:1,36%,otes: Julia 258 Total Creatives/ Lines 64% Static 36% Video (Companion and 3D) (13.4M) RB Overal,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-29
julia 258 total creatives/ lines,1,1,percentage:1,64%,jpg) ### Notes: Julia 258 Total Creatives/ Lines 64% Static 36% Video (Companion and 3D) (13.4M) RB,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-29
intenders - audience recommendation example,1,1,percentage:1,85%,alled so content store really helped drive down **85% Intenders - Audience recommendation Example: “,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-31
installers - 76% - +2 ppt hoh - active users,1,1,percentage:1,33%,- Installers - 76% - +2 ppt HoH - Active Users - 33% - Installed: All active LG TV users who had the a,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-18
incrementality among not installed audiences over,1,1,percentage:1,67%,"incrementality among Not Installed audiences over 67%+ across every market, whereas Lapsed generated do",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-72
increase in average minutes streamed vs the overa,1,1,percentage:1,+26%,Exposure to Disney+ advertising on LG TVs drove a +26% increase in average minutes streamed vs the overa,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-24
in h2 expanding into video and interactive format,1,1,percentage:1,60%,at 96% of H1 Carousel assets were Static and only 60% in H2 expanding into video and interactive format,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
in h1 to 64% in h2,1,1,percentage:1,96%,"ousel Video Upgrades - Static assets dropped from 96% in H1 to 64% in H2, increasing video and interact",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
in h1 by re-engaging over 153k devices throughout,1,1,currency:1,$4.40,74.2K Lapsed budget Disney+ achieved an efficient $4.40 in H1 by re-engaging over 153K devices throughout,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-27
in fr,1,1,rate:1,4 CTR,"Total Q4 CPE in FR, DE, IT, UK - CTR - vs. Total Q4 CTR in FR, DE, IT, UK - - Source: LG Ad Solutions TV",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-69
improvement voiceover,1,1,percentage:1,2%,", 875K installs, 96K acquired users, $18.16 CPA - 2% improvement Voiceover: Installs and Acquired U",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-26
if over-delivery starts to occur,1,1,currency:1,$0,ly via email Daily IO Scaled Spend column will be $0 if over-delivery starts to occur</td></tr><tr><td,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-51
hours of watch time per launch,1,1,percentage:1,+26%,g over 1.5 hours of watch time per launch - - - +26% - 74 mins - 94 mins ![rId3](slide_15_image_rId3.j,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-24
home screen roadblocks made up,1,1,percentage:1,15%,Impact Roadblocks: Home Screen Roadblocks made up 15% of spend but drove 25%+ unique reach and were 3x,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
high impact roadblocks - roadblocks,1,1,percentage:1,15%,"n. - 4 - - High Impact Roadblocks - Roadblocks = 15% of spend, 28%+ reach, 3x CPPC efficiency. - Incre",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
heavy focus on local turkish originals vs,1,1,rate:1,11.03 CPPC,iency Gains: H1: $269K | $14.89 CPPC H2: $388K | $11.03 CPPC Heavy focus on local Turkish Originals vs. Global,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16
having,1,1,currency:1,$118,"he past 6 months, with Standalone ($1.03M) having $118K more investment vs Bundle ($912K) ($460K Duo & $",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-30
h2 vs h1 analysis - with a,1,1,percentage:1,+12%,- H2 vs H1 Analysis - With a +12% uptick in investment and the Content Store Roadbl,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-28
h1 vs h2 analysis - with an additional,1,1,currency:1,$300,"Id3.jpg) - H1 vs H2 Analysis - With an additional $300K in investment, performance improved across all K",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-23
global markets - 200m,1,1,percentage:1,+17%,y people Experience TV. - Global Markets - 200M - +17% - Growth Since ‘24 - Global LG webOS TVs - 94%+ -,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-5
given that,1,1,percentage:1,96%,n efficiency. Carousel Video Upgrades: Given that 96% of H1 Carousel assets were Static and only 60% in,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
germany h1 lapsed budget,1,1,currency:1,$105,aintaining CPE sub $5. Germany H1 Lapsed Budget: $105K Lapsed media ran across specific creative groups,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-31
fy25-q2 - first-io in,1,1,percentage:1,100%,"o-enabled - - Details | FY25-Q2 - First-IO in - 100% SOV, two week time-frames - Open: 1/1-1/15 & 2/",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-14
fy25 q1 & beyond - first-io in,1,1,percentage:1,100%,"2 - - Timing | FY25 Q1 & Beyond - First-IO in - 100% SOV, two week time-frames - 4x Creative Cards min",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-14
from highest to lowest investment - investment,1,1,currency:1,$2.56,from highest to lowest investment - Investment = $2.56M - Content Store - 5% ![rId4](slide_58_image_rId4,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-49
exposure to disney+ advertising on lg tvs drove a,1,1,percentage:1,+26%,Exposure to Disney+ advertising on LG TVs drove a +26% increase in average minutes streamed vs the overa,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-24
expanded lapsed ros targeting into 7 new countrie,1,1,currency:1,$3.30,impressions 2.9M launches 211K engaged users CPE $3.30 expanded Lapsed ROS targeting into 7 new countrie,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-27
es of business - disney+ global fy25 investment,1,1,currency:1,$18,es of Business - Disney+ Global FY25 Investment - $18M (2x FY24) - EMEA accounts for 30% of Disney+ G,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
ersions - 32% - overall q2/q3 - hulu investment,1,1,percentage:1,0.19%,ersions - 32% - Overall Q2/Q3 - Hulu Investment - 0.19% - Click-through-Rate (CTR) - 7.7M - Unique Device,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-77
ermany - while the content store represented just,1,1,percentage:1,11%,"ermany - While the Content Store represented just 11% of Disney’s spend in UK and DE, the sponsorship d",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-39
enabling us to deliver over,1,1,currency:1,$800,and sustained scale — enabling us to deliver over $800K in domestic value back to the business. Our bigg,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
emea h1 at a glance,1,1,currency:1,$2.06,and creative For Comparison: EMEA H1 At a Glance $2.06M 875K Installs $18.16 CPA 13.8M Launches $2.03 CP,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-24
emea fy24 h2 at a glance - - - investment,1,1,currency:1,$2.25,- EMEA FY24 H2 at a Glance - - - Investment: $2.25M - Total Installs: - 699K ![rId3](slide_16_image_,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-24
emea accounted for,1,1,currency:1,$4.3,"d $9.4M with LG Ads in FY24, EMEA accounted for $4.3M of the investment - Number of Markets and inve",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4
emea,1,1,percentage:1,46%,",318,179 (14 markets) EMEA FY23: $3,922,187 (EMEA 46% of the total budget) UEFA - RBs TO SUPPORT List 7",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4
effectiveness,1,1,percentage:1,+36%,"sel delivered higher CTRs, +50% launch rates, and +36% effectiveness, while the 3D Animated Carousel exc",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-35
e time in app last half 52 overall 60 min exposed,1,1,percentage:1,15%,e time in app Last Half 52 overall 60 min exposed 15% growth,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-19
e complement disney+ high impact strategy driving,1,1,percentage:1,+71%,e complement Disney+ high impact strategy driving +71% more efficient CPA. Prioritize Content Store Road,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-48
e ads are showing impressive ctrs with a range of,1,1,percentage:1,2.5%,e ads are showing impressive CTRs with a range of 2.5% - 4.5%,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-16
duplication against other oems gives you the scal,1,1,percentage:1,5%,thin individual households. ### Notes: Less than 5% duplication against other OEMs gives you the scal,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-7
driving,1,1,percentage:1,+18%,"ements proved highly engaging in Germany, driving +18% CTR, +4% Launch Rate, and +1 minutes longer durat",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-37
domestic accounted for,1,1,currency:1,$3.8,"vested $9.4M with LG Ads, Domestic accounted for $3.8M of the investment, up 13% YoY - Successfully la",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-4
disney+ ran a two-week,1,1,percentage:1,100%,mage_rId3.jpg) ### Notes: Disney+ ran a two-week 100% SOV roadblock within the LG content store ecosyst,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-37
disney+ emea alone contributed,1,1,currency:1,$5.4,"growth from FY24. Disney+ EMEA alone contributed $5.4M, nearly half of our global FY25 investment, with",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
disney+ achieved an efficient,1,1,currency:1,$3.06,"With $2.25M budget, Disney+ achieved an efficient $3.06 CPE in H2 - - - Engagement Proxy - - - Impre",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-30
disney was active,1,1,percentage:1,51%,"home screen takeovers, and AV, Disney was active 51% of H2 and had a much stronger presence this half",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-29
discrepancy between lg maus and d+ maus - lg,1,1,percentage:1,24%,- Discrepancy between LG MAUs and D+ MAUs - LG - 24% (4.5M) - Avg monthly campaign reach against LG un,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-21
despite originating from only a,1,1,currency:1,$17,"ment, up 77% YoY, despite originating from only a $17M endeavor. Disney Streaming Global was the primar",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
delivering,1,1,percentage:1,57%,"ounted for 48% of the total RB budget, delivering 57% of all installs, 63% of total app launches, 65% o",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46
decrease of,1,1,percentage:1,-22%,"uire 40K new users in H2, delivering a $45.44 CPA -22% decrease of $13 vs H1 with help from the Content",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-31
dded value spotlight - disney+ received more than,1,1,currency:1,$113.25,dded Value Spotlight - Disney+ received more than $113.25K in added value (over 9M impressions) in H2’24 th,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-35
dated - united kingdom performance - investment,1,1,currency:1,$88.3,dated - United Kingdom Performance - Investment - $88.3K - Reach / Frequency - 1.07M / 3.91 ![rId5](slide,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-60
d targeting viewers are above the emea average at,1,1,percentage:1,80%,"d targeting viewers are above the EMEA average at 80% user base, consider increasing paid ROS to includ",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18
d - video companion - 2% of h2 investment,1,1,percentage:1,22%,32 - 3D - Video Companion - 2% of H2 Investment - 22% of H2 Investment - Source: LG Ads 1P Campaign Dat,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-64
d - video companion,1,1,percentage:1,2%,Rate: 8.82% - CPE: $1.32 - 3D - Video Companion - 2% of H2 Investment - 22% of H2 Investment - Source:,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-64
cppc heavy focus on local turkish originals vs,1,1,currency:1,$11.03,ciency Gains: H1: $269K | $14.89 CPPC H2: $388K | $11.03 CPPC Heavy focus on local Turkish Originals vs. G,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16
cpeh2,1,1,percentage:1,-21%,4.6M - +25% - InstallsH2’24: 699K - H1’25: 876K - -21% - CPEH2’24: $3.30 - H1’25: $2.62 - Source: LG Ad,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-23
cost persh1,1,1,percentage:1,-32%,3M - +78% - LaunchesH1’25: 12.0M - H2’25: 21.2M - -32% - Cost PersH1’25: $2.62 - H2’25: $1.79 - Source:,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-23
contributing,1,1,currency:1,$18,"s the primary engine of this growth, contributing $18M, which is 52% of total XLOB investment and repre",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
content store - roadblock - static creative runs,1,1,percentage:1,70%,Content Store - Roadblock - Static creative runs 70% of the time; prioritize Carousel Companion w/ Vid,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-48
cheaper,1,1,currency:1,$0.83,") 975K engagements (61%) $2.62 CPE (32% decrease, $0.83 cheaper",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-22
cents /,1,1,percentage:1,72%,/ 70% Hungary: 5.18 / 60% Sweden: 0.52 cents / 72%,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-29
carousel companion with video - investment,1,1,currency:1,$110,tive: Carousel Companion with Video - Investment: $110K - 2019+ Model Year Targeting - Nearly $10K Added,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-37
but generated nearly,1,1,percentage:1,50%,"tal $1.96M carousel budget, but generated nearly 50% of launches, 54% of total streaming time, and 54%",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-34
bundle duo/trio,1,1,percentage:1,100%,"actics We aligned tightly across teams to support 100% Bundle Duo/Trio, EDTC / Unlimited Bundle launch,",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
bundle duo / trio support,1,1,percentage:1,100%,"riorities aligned with the increases were around: 100% Bundle Duo / Trio support, the EDTC launch or Unl",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
brazil to-date,1,1,currency:1,$3,"ts NEW: Czech Republic, Romania, Brazil To-date: $3,207,458 (Q1: $969,752 Q2: $1,601,706 Q3; $636,000",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
average durationcountdown,1,1,percentage:1,+2%,% - = - Cost pers Countdown: $0.66 - BAU: $0.66 - +2% - Average DurationCountdown : 68.56 Min - BAU: 67,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-37
average durationcompanion,1,1,percentage:1,-0.5%,- -36% - Cost Per Companion: $0.28 - 3D: $0.43 - -0.5% - Average DurationCompanion: 70.68 - 3D: 71.03 ![,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-35
average duration,1,1,currency:1,$0.59,tal installs: 179K Launches: 40M CPA: $27.29 CPE: $0.59 Average Duration: 94.4M Unique Reach: 13M Avg Mon,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-26
av creatives,1,1,percentage:1,0.11%,S AV not installed only = 1.55% Install rate RB = 0.11% AV creatives: Haunted Mansion & Bundle Duo,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-55
at 96% of h1 carousel assets were static and only,1,1,percentage:1,60%,at 96% of H1 Carousel assets were Static and only 60% in H2 expanding into video and interactive format,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
as nearly,1,1,percentage:1,40%,"el Companion and 3D Animated creatives, as nearly 40% of assets adopted dynamic video formats, a proven",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
arter turkey shows substantial growth potential,1,1,percentage:1,30%,"arter Turkey shows substantial growth potential: 30% of LG TVs do not have Disney+ installed, and of t",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-27
app store,1,1,percentage:1,100%,ge_rId3.jpg) - Content Store Roadblock: App Store 100% SOV - Gain access to viewers actively seeking app,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-10
and lowering cost-pers - investment,1,1,currency:1,$2.05,"retention, and lowering cost-pers - Investment = $2.05M ![rId3](slide_20_image_rId3.jpg) - Content Store",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-27
analysis - a modest,1,1,percentage:1,14%,"ge_rId3.jpg) - H1’25 vs H2’24 Analysis - A modest 14% ($320K) increase in investment, including 10 add",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-23
alled budgets with lapsed scattered in sweden h2,1,1,currency:1,$97,"alled budgets with Lapsed scattered in Sweden H2: $97,500 (ROS) / $28,432.50 (RBs) / Total: $125,932.50",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-27
all targeted,1,1,currency:1,$2.03,"apsed opportunity audience for Rotational H1 CPE: $2.03 All Targeted, breakout Lapsed last time — 0.66 Q",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-33
all other markets always on -turkey,1,1,currency:1,$44,"Otherwise, all other markets always on -Turkey $44 last half was 44% not installed - went down 3% po",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
added 5x markets of lapsed,1,1,currency:1,$2.05,Targeting. ### Notes: Speaker: Nicole Last half $2.05 Added 5x Markets of Lapsed– expanded Lapsed ROS,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-15
active users - 37% - installed,1,1,percentage:1,78%,tallers - Lapsed Users - 22% - 63% - Installers - 78% - Active Users - 37% - Installed: All active LG T,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
active users - 34% - installed,1,1,percentage:1,74%,stalled - Lapsed Users - 26% - 66% - Installers - 74% - Active Users - 34% - Installed: All active LG T,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18
active,1,1,percentage:1,40%,"a: Installed = 76%, Not Installed = 24%, Active = 40%, Lapsed = 60%. ### Notes: LAPSED ROS - $220k Not",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
actics we aligned tightly across teams to support,1,1,percentage:1,100%,"actics We aligned tightly across teams to support 100% Bundle Duo/Trio, EDTC / Unlimited Bundle launch,",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
across all mature markets,1,1,currency:1,$5.00,sed ROS - - Disney+ Lapsed ROS delivered a CPE <$5.00 across all Mature Markets. Spain and the UK conti,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-31
acquired years,1,1,percentage:1,69%,"ersions (63% of all launches, 65% streaming time, 69% acquired years, 63% engaged users) and a much low",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-52
achieved an efficient,1,1,currency:1,$4.82,"ing with $220K investment, achieved an efficient $4.82 CPE in H2 and brought 46.6K Lapsed users back int",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-33
above our lg entertainment benchmark,1,1,percentage:1,16%,"impressions, while reaching an overall 0.14% CTR— 16% above our LG Entertainment benchmark. The FY24Q1",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-59
a mix of targeted ros and,1,1,percentage:1,100%,and Disney Pictures. - A mix of Targeted ROS and 100% SOV High Impact Roadblocks - DMA-level targeting,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-66
a accounts for 40% of disney+ h1 investment,1,1,currency:1,$224,A accounts for 40% of Disney+ H1 investment - $224K in Added Value secured - Market Activation & Exp,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
